----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  metabat.63      p__Cyanobacteria (UID2189)          82         579           450         10   566   3   0   0   0       97.78            0.67               0.00          
  contig_120      o__Cytophagales (UID2936)           47         454           336         9    438   7   0   0   0       97.62            1.64              14.29          
  metabat.25         k__Bacteria (UID203)            5449        104            58         81    23   0   0   0   0       34.48            0.00               0.00          
  metabat.5       o__Clostridiales (UID1120)         304         247           141        171    72   4   0   0   0       33.92            1.77               0.00          
  metabat.4         k__Bacteria (UID3060)            138         338           246        230   108   0   0   0   0       30.28            0.00               0.00          
  metabat.29   c__Deltaproteobacteria (UID3216)       83         247           155        169    77   1   0   0   0       28.18            0.13               0.00          
  metabat.45      o__Clostridiales (UID1212)         172         263           149        198    65   0   0   0   0       22.60            0.00               0.00          
  metabat.1          k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       22.41            0.00               0.00          
  metabat.58         k__Bacteria (UID203)            5449        102            56         87    15   0   0   0   0       21.43            0.00               0.00          
  metabat.36   c__Deltaproteobacteria (UID3216)       83         247           155        185    62   0   0   0   0       20.79            0.00               0.00          
  metabat.3          k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       18.10            0.00               0.00          
  metabat.53         k__Bacteria (UID203)            5449        104            58         92    12   0   0   0   0       17.24            0.00               0.00          
  metabat.31        k__Bacteria (UID3060)            138         338           246        273    65   0   0   0   0       16.07            0.00               0.00          
  metabat.61        s__algicola (UID2846)             47         571           303        466   104   1   0   0   0       15.01            0.01               0.00          
  metabat.62   c__Deltaproteobacteria (UID3218)       61         284           169        239    45   0   0   0   0       14.53            0.00               0.00          
  metabat.40         k__Bacteria (UID203)            5449        103            57         93    10   0   0   0   0       14.04            0.00               0.00          
  metabat.15         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0       13.79            0.00               0.00          
  metabat.48   c__Deltaproteobacteria (UID3218)       61         284           169        219    64   1   0   0   0       13.77            0.02               0.00          
  metabat.37         k__Bacteria (UID203)            5449        104            58         89    15   0   0   0   0       13.24            0.00               0.00          
  metabat.26        s__algicola (UID2846)             47         571           303        466   105   0   0   0   0       13.09            0.00               0.00          
  metabat.13         k__Bacteria (UID203)            5449        104            58         92    12   0   0   0   0       12.70            0.00               0.00          
  metabat.52         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0       12.07            0.00               0.00          
  metabat.42         k__Bacteria (UID203)            5449        104            58         96    8    0   0   0   0       12.07            0.00               0.00          
  metabat.21         k__Bacteria (UID203)            5449        103            58         96    7    0   0   0   0       12.07            0.00               0.00          
  metabat.6      p__Proteobacteria (UID3061)         115         395           260        335    60   0   0   0   0       10.58            0.00               0.00          
  metabat.66         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0       10.50            0.00               0.00          
  metabat.24     p__Proteobacteria (UID3061)         115         395           260        353    42   0   0   0   0        9.91            0.00               0.00          
  metabat.54         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0        9.64            0.00               0.00          
  metabat.10         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        9.48            0.00               0.00          
  metabat.34         k__Bacteria (UID203)            5449        102            56         96    6    0   0   0   0        8.93            0.00               0.00          
  metabat.64         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.55         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.65             root (UID1)                 5656         56            24         54    2    0   0   0   0        8.33            0.00               0.00          
  metabat.11             root (UID1)                 5656         56            24         54    2    0   0   0   0        8.33            0.00               0.00          
  metabat.67         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0        6.90            0.00               0.00          
  metabat.23         k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        6.90            0.00               0.00          
  metabat.35      o__Clostridiales (UID1212)         172         263           149        219    44   0   0   0   0        6.71            0.00               0.00          
  metabat.30         k__Bacteria (UID203)            5449        103            57         99    4    0   0   0   0        5.26            0.00               0.00          
  metabat.60         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        5.17            0.00               0.00          
  metabat.7              root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.50             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.38             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.33             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.14             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.27             root (UID1)                 5656         56            24         54    2    0   0   0   0        2.08            0.00               0.00          
  metabat.9              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.8              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.68             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.59             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.57             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.56             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.51             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.49             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.47             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.46             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.44             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.43             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.41             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.39             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.32             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.28         k__Bacteria (UID203)            5449        104            58        104    0    0   0   0   0        0.00            0.00               0.00          
  metabat.22             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.20             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.2              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.19             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.18             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.17             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.16             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.12             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
