locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFNKBEDD_00001	CDS	150				hypothetical protein
EFNKBEDD_00002	CDS	672				hypothetical protein
EFNKBEDD_00003	CDS	339				hypothetical protein
EFNKBEDD_00004	CDS	438				hypothetical protein
EFNKBEDD_00005	CDS	297				hypothetical protein
EFNKBEDD_00006	CDS	756				hypothetical protein
EFNKBEDD_00007	CDS	501				hypothetical protein
EFNKBEDD_00008	CDS	723				hypothetical protein
EFNKBEDD_00009	CDS	276				hypothetical protein
EFNKBEDD_00010	CDS	1329				hypothetical protein
EFNKBEDD_00011	CDS	258				hypothetical protein
EFNKBEDD_00012	CDS	891				hypothetical protein
EFNKBEDD_00013	CDS	207				hypothetical protein
EFNKBEDD_00014	CDS	207				hypothetical protein
EFNKBEDD_00015	CDS	600				hypothetical protein
EFNKBEDD_00016	CDS	528				hypothetical protein
EFNKBEDD_00017	CDS	399				hypothetical protein
EFNKBEDD_00018	CDS	558				hypothetical protein
EFNKBEDD_00019	CDS	714				hypothetical protein
EFNKBEDD_00020	CDS	288				hypothetical protein
EFNKBEDD_00021	CDS	1137				hypothetical protein
EFNKBEDD_00022	CDS	492				hypothetical protein
EFNKBEDD_00023	CDS	225				hypothetical protein
EFNKBEDD_00024	CDS	216				hypothetical protein
EFNKBEDD_00025	CDS	576				hypothetical protein
EFNKBEDD_00026	tRNA	85				tRNA-Leu(tag)
EFNKBEDD_00027	CDS	5439	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_00028	CDS	5403	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_00029	CDS	5406	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_00030	CDS	5388	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_00031	CDS	5406	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_00032	CDS	5436	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_00033	CDS	2241	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_00034	CDS	3051	pknD_5	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_00035	CDS	132				hypothetical protein
EFNKBEDD_00036	CDS	1182				hypothetical protein
EFNKBEDD_00037	CDS	747				hypothetical protein
EFNKBEDD_00038	CDS	960				hypothetical protein
EFNKBEDD_00039	CDS	1305	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00040	CDS	1872	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EFNKBEDD_00041	CDS	1515				hypothetical protein
EFNKBEDD_00042	CDS	1521				hypothetical protein
EFNKBEDD_00043	CDS	228	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
EFNKBEDD_00044	CDS	480				hypothetical protein
EFNKBEDD_00045	CDS	357				hypothetical protein
EFNKBEDD_00046	tRNA	74				tRNA-Pro(ggg)
EFNKBEDD_00047	CDS	639				hypothetical protein
EFNKBEDD_00048	tRNA	76				tRNA-Arg(tct)
EFNKBEDD_00049	CDS	348				hypothetical protein
EFNKBEDD_00050	CDS	2535				hypothetical protein
EFNKBEDD_00051	CDS	897				hypothetical protein
EFNKBEDD_00052	CDS	717				hypothetical protein
EFNKBEDD_00053	CDS	663				hypothetical protein
EFNKBEDD_00054	CDS	435				hypothetical protein
EFNKBEDD_00055	CDS	306				hypothetical protein
EFNKBEDD_00056	CDS	225				hypothetical protein
EFNKBEDD_00057	CDS	1563				hypothetical protein
EFNKBEDD_00058	CDS	942		3.4.19.5	COG1446	Isoaspartyl peptidase/L-asparaginase
EFNKBEDD_00059	CDS	753	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
EFNKBEDD_00060	CDS	1659				hypothetical protein
EFNKBEDD_00061	CDS	135	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
EFNKBEDD_00062	CDS	279	msrB_2	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
EFNKBEDD_00063	CDS	6057	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_00064	CDS	351				hypothetical protein
EFNKBEDD_00065	CDS	2031				hypothetical protein
EFNKBEDD_00066	CDS	1005	htpX_1	3.4.24.-		Protease HtpX
EFNKBEDD_00067	CDS	654	mprA_1			Response regulator MprA
EFNKBEDD_00068	CDS	417		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
